Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2011,2011-12-04,22.123,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2011,2011-12-11,22.13,,,,,,,,,,,
2011,2011-12-18,22.136999999999997,1.0,1.0,100.0,18.0,0.0,0.0,118.7,2.0,3.0,18.0,18.0
2012,2012-09-10,23.038,2.0,3.0,66.67,30.0,0.0,0.0,99.3,0.0,0.0,10.0,10.0
2012,2012-09-27,23.055,,,,,,,,,,,
2012,2012-10-07,23.065,,,,,,,,,,,
2012,2012-11-04,23.093000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-11-11,23.1,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2012,2012-12-23,23.142,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-12-30,23.149,15.0,25.0,60.0,149.0,0.0,1.0,60.2,3.0,30.0,5.96,4.16
2013,2013-11-10,24.099,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2013,2013-11-24,24.113000000000003,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2013,2013-12-22,24.141,1.0,4.0,25.0,2.0,0.0,1.0,0.0,0.0,0.0,0.5,-10.75
2014,2014-10-12,25.07,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-09-13,26.041,14.0,19.0,73.68,195.0,1.0,0.0,123.8,0.0,0.0,10.26,11.32
2015,2015-09-20,26.048000000000002,23.0,30.0,76.67,242.0,3.0,3.0,93.3,8.0,53.0,8.07,5.57
2015,2015-09-27,26.055,21.0,29.0,72.41,277.0,3.0,0.0,136.7,0.0,0.0,9.55,11.62
2015,2015-10-04,26.061999999999998,28.0,42.0,66.67,274.0,1.0,1.0,82.8,2.0,16.0,6.52,5.93
2015,2015-10-11,26.069000000000003,10.0,17.0,58.82,109.0,1.0,0.0,97.4,4.0,31.0,6.41,7.59
