Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1977,1977-09-18,22.096,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-09-25,22.103,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-10-02,22.11,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-11-20,22.159000000000002,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-11-24,22.163,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-12-04,22.173000000000002,,,,,,,,,,,
1977,1977-12-11,22.18,0.0,0.0,,0.0,0.0,0.0,,,,,
1978,1978-11-19,23.158,0.0,0.0,,0.0,0.0,0.0,,,,,
1978,1978-11-26,23.165,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1978,1978-12-04,23.173000000000002,1.0,2.0,50.0,38.0,0.0,1.0,56.2,2.0,25.0,19.0,-3.5
1979,1979-09-09,24.087,4.0,7.0,57.14,88.0,1.0,0.0,141.4,1.0,12.0,12.57,15.43
1979,1979-09-16,24.094,5.0,16.0,31.25,155.0,2.0,1.0,82.0,4.0,37.0,9.69,9.38
1979,1979-09-23,24.101,11.0,17.0,64.71,92.0,0.0,2.0,39.0,1.0,5.0,5.41,0.12
1979,1979-09-30,24.108,12.0,23.0,52.17,173.0,1.0,2.0,55.2,2.0,21.0,7.52,4.48
1980,1980-09-21,25.099,14.0,34.0,41.18,204.0,1.0,1.0,58.9,5.0,40.0,6.0,5.26
1980,1980-09-28,25.105999999999998,2.0,7.0,28.57,24.0,0.0,3.0,1.8,,,3.43,-15.86
1980,1980-10-12,25.12,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1980,1980-10-19,25.127,5.0,8.0,62.5,172.0,1.0,1.0,106.2,1.0,1.0,21.5,18.38
1980,1980-10-26,25.134,10.0,18.0,55.56,113.0,0.0,2.0,35.0,2.0,7.0,6.28,1.28
1980,1980-11-03,25.142,18.0,33.0,54.55,201.0,2.0,1.0,80.5,2.0,12.0,6.09,5.94
1980,1980-11-09,25.148000000000003,11.0,18.0,61.11,210.0,3.0,1.0,118.1,,,11.67,12.5
1980,1980-11-16,25.155,12.0,23.0,52.17,165.0,0.0,1.0,57.3,2.0,17.0,7.17,5.22
