Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1977,1977-10-24,23.183000000000003,,,,,,,,,,,
1977,1977-11-06,23.195999999999998,1.0,1.0,100.0,17.0,0.0,0.0,118.7,,,17.0,17.0
1977,1977-12-17,23.237,8.0,14.0,57.14,66.0,2.0,0.0,108.9,1.0,10.0,4.71,7.57
1978,1978-09-10,24.139,,,,,,,,,,,
1978,1978-09-17,24.146,0.0,0.0,,0.0,0.0,0.0,,,,,
1978,1978-10-08,24.166999999999998,2.0,4.0,50.0,30.0,0.0,0.0,75.0,,,7.5,7.5
1978,1978-10-15,24.174,,,,,,,,,,,
1978,1978-10-22,24.180999999999997,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1978,1978-10-30,24.189,2.0,4.0,50.0,50.0,0.0,0.0,95.8,2.0,19.0,12.5,12.5
1978,1978-11-12,24.201999999999998,1.0,1.0,100.0,8.0,0.0,0.0,100.0,,,8.0,8.0
1978,1978-11-26,24.215999999999998,2.0,6.0,33.33,26.0,0.0,1.0,8.3,,,4.33,-3.17
1978,1978-12-11,24.230999999999998,0.0,4.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-11.25
1979,1979-09-23,25.151999999999997,4.0,8.0,50.0,33.0,0.0,1.0,21.4,2.0,21.0,4.13,-1.5
1979,1979-09-30,25.159000000000002,2.0,5.0,40.0,42.0,1.0,0.0,110.0,,,8.4,12.4
1979,1979-10-14,25.173000000000002,1.0,4.0,25.0,14.0,0.0,1.0,2.1,1.0,8.0,3.5,-7.75
1979,1979-11-19,25.209,9.0,22.0,40.91,171.0,2.0,1.0,79.9,1.0,11.0,7.77,7.55
1979,1979-11-25,25.215,9.0,20.0,45.0,149.0,1.0,2.0,47.7,,,7.45,3.95
1979,1979-12-02,25.221999999999998,4.0,10.0,40.0,22.0,0.0,1.0,8.3,2.0,19.0,2.2,-2.3
1979,1979-12-09,25.229,10.0,15.0,66.67,188.0,1.0,2.0,92.4,1.0,11.0,12.53,7.87
1979,1979-12-16,25.236,14.0,26.0,53.85,159.0,0.0,2.0,40.4,4.0,45.0,6.12,2.65
1980,1980-09-07,26.136,4.0,5.0,80.0,46.0,0.0,0.0,105.0,,,9.2,9.2
