Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-09-10,23.115,3.0,4.0,75.0,27.0,0.0,1.0,53.1,0.0,0.0,6.75,-4.5
2006,2006-09-17,23.122,7.0,20.0,35.0,106.0,1.0,0.0,70.0,0.0,0.0,5.3,6.3
2006,2006-10-01,23.136,14.0,29.0,48.28,155.0,1.0,2.0,47.3,2.0,4.0,5.34,2.93
2006,2006-10-08,23.143,10.0,21.0,47.62,63.0,0.0,1.0,34.4,0.0,0.0,3.0,0.86
2006,2006-10-15,23.15,13.0,25.0,52.0,161.0,1.0,0.0,85.6,3.0,10.0,6.44,7.24
2006,2006-10-29,23.164,7.0,15.0,46.67,87.0,1.0,0.0,87.4,1.0,1.0,5.8,7.13
2006,2006-11-05,23.171,15.0,36.0,41.67,163.0,1.0,3.0,30.2,1.0,9.0,4.53,1.33
2006,2006-11-12,23.178,13.0,25.0,52.0,211.0,0.0,1.0,63.9,2.0,6.0,8.44,6.64
2006,2006-11-19,23.185,8.0,22.0,36.36,101.0,1.0,0.0,66.7,3.0,17.0,4.59,5.5
2006,2006-11-26,23.191999999999997,24.0,35.0,68.57,249.0,2.0,0.0,107.9,2.0,14.0,7.11,8.26
2006,2006-12-03,23.199,15.0,25.0,60.0,163.0,2.0,2.0,72.6,0.0,0.0,6.52,4.52
2006,2006-12-10,23.206,19.0,29.0,65.52,218.0,0.0,1.0,73.6,2.0,18.0,7.52,5.97
2006,2006-12-17,23.213,8.0,15.0,53.33,85.0,0.0,0.0,70.1,3.0,28.0,5.67,5.67
2006,2006-12-24,23.22,13.0,20.0,65.0,183.0,2.0,0.0,127.7,1.0,2.0,9.15,11.15
2006,2006-12-31,23.226999999999997,15.0,36.0,41.67,227.0,0.0,2.0,39.9,5.0,20.0,6.31,3.81
2007,2007-09-09,24.114,11.0,18.0,61.11,78.0,0.0,1.0,47.9,1.0,6.0,4.33,1.83
2007,2007-09-16,24.121,17.0,27.0,62.96,184.0,1.0,0.0,95.3,3.0,12.0,6.81,7.56
2007,2007-09-24,24.129,14.0,22.0,63.64,164.0,2.0,1.0,97.5,0.0,0.0,7.45,7.23
2007,2007-10-07,24.142,20.0,33.0,60.61,157.0,0.0,3.0,34.5,0.0,0.0,4.76,0.67
2007,2007-10-14,24.149,11.0,14.0,78.57,120.0,0.0,1.0,72.6,1.0,4.0,8.57,5.36
2007,2007-10-28,24.163,6.0,14.0,42.86,42.0,0.0,0.0,50.3,2.0,16.0,3.0,3.0
2007,2007-11-04,24.17,14.0,23.0,60.87,110.0,0.0,2.0,36.5,3.0,14.0,4.78,0.87
2007,2007-11-11,24.177,24.0,41.0,58.54,257.0,1.0,2.0,64.8,4.0,27.0,6.27,4.56
