Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1987,1987-09-20,23.311,1.0,4.0,25.0,14.0,0.0,0.0,41.7,1.0,9.0,3.5,3.5
1987,1987-11-29,24.016,4.0,6.0,66.67,33.0,0.0,1.0,41.0,1.0,8.0,5.5,-2.0
1987,1987-12-06,24.023000000000003,22.0,47.0,46.81,369.0,2.0,2.0,70.3,3.0,17.0,7.85,6.79
1987,1987-12-13,24.03,20.0,39.0,51.28,262.0,1.0,1.0,70.7,4.0,46.0,6.72,6.08
1987,1987-12-20,24.037,16.0,38.0,42.11,240.0,2.0,2.0,59.1,6.0,33.0,6.32,5.0
1987,1987-12-27,24.044,8.0,31.0,25.81,163.0,0.0,0.0,49.0,3.0,27.0,5.26,5.26
1988,1988-09-04,24.296,21.0,45.0,46.67,324.0,2.0,5.0,46.2,1.0,5.0,7.2,3.09
1988,1988-09-11,24.303,11.0,24.0,45.83,135.0,0.0,0.0,63.7,3.0,17.0,5.63,5.63
1988,1988-09-18,24.31,16.0,28.0,57.14,211.0,1.0,2.0,63.2,4.0,27.0,7.54,5.04
1988,1988-09-25,24.316999999999997,14.0,33.0,42.42,230.0,0.0,1.0,53.9,4.0,26.0,6.97,5.61
1988,1988-10-02,24.324,20.0,37.0,54.05,300.0,1.0,4.0,50.3,2.0,17.0,8.11,3.78
1988,1988-10-09,24.331,12.0,25.0,48.0,170.0,1.0,2.0,50.4,1.0,16.0,6.8,4.0
1988,1988-10-16,24.338,25.0,42.0,59.52,469.0,2.0,2.0,94.2,3.0,25.0,11.17,9.98
1988,1988-10-23,24.345,19.0,45.0,42.22,223.0,1.0,6.0,25.7,1.0,8.0,4.96,-0.6
1988,1988-11-06,24.359,22.0,52.0,42.31,305.0,1.0,2.0,52.2,2.0,32.0,5.87,4.52
1988,1988-11-13,25.0,9.0,13.0,69.23,107.0,0.0,2.0,54.5,2.0,28.0,8.23,1.31
1988,1988-11-20,25.006999999999998,7.0,22.0,31.82,86.0,0.0,2.0,7.0,1.0,10.0,3.91,-0.18
1988,1988-11-27,25.014,12.0,29.0,41.38,190.0,0.0,3.0,24.3,1.0,4.0,6.55,1.9
1988,1988-12-04,25.021,12.0,29.0,41.38,156.0,0.0,0.0,59.0,2.0,13.0,5.38,5.38
1988,1988-12-11,25.028000000000002,10.0,19.0,52.63,145.0,1.0,1.0,73.4,2.0,14.0,7.63,6.32
1988,1988-12-18,25.035,12.0,23.0,52.17,189.0,3.0,3.0,79.8,4.0,50.0,8.22,4.96
1989,1989-09-10,25.301,22.0,27.0,81.48,205.0,1.0,0.0,110.6,0.0,0.0,7.59,8.33
1989,1989-09-17,25.308000000000003,14.0,35.0,40.0,146.0,1.0,2.0,38.5,2.0,20.0,4.17,2.17
1989,1989-09-24,25.315,15.0,26.0,57.69,227.0,1.0,1.0,83.3,1.0,9.0,8.73,7.77
1989,1989-10-01,25.322,6.0,23.0,26.09,82.0,0.0,0.0,41.9,2.0,18.0,3.57,3.57
1989,1989-10-08,25.329,22.0,36.0,61.11,269.0,3.0,2.0,88.8,2.0,1.0,7.47,6.64
1989,1989-10-22,25.343000000000004,19.0,38.0,50.0,311.0,3.0,2.0,82.2,2.0,15.0,8.18,7.39
1989,1989-10-29,25.35,23.0,39.0,58.97,336.0,3.0,3.0,80.7,0.0,0.0,8.62,6.69
1989,1989-11-05,25.357,27.0,50.0,54.0,370.0,2.0,4.0,57.9,2.0,21.0,7.4,4.6
1989,1989-11-12,25.364,18.0,28.0,64.29,165.0,1.0,0.0,92.1,7.0,54.0,5.89,6.61
1989,1989-11-19,26.006,19.0,41.0,46.34,288.0,1.0,0.0,78.1,4.0,25.0,7.02,7.51
1989,1989-11-26,26.013,19.0,42.0,45.24,200.0,2.0,1.0,65.6,5.0,61.0,4.76,4.64
1989,1989-12-03,26.02,19.0,39.0,48.72,188.0,0.0,5.0,23.2,4.0,18.0,4.82,-0.95
1989,1989-12-10,26.026999999999997,31.0,48.0,64.58,328.0,2.0,1.0,89.6,4.0,41.0,6.83,6.73
1989,1989-12-17,26.034000000000002,4.0,8.0,50.0,18.0,0.0,1.0,16.7,3.0,11.0,2.25,-3.38
1990,1990-09-09,26.3,16.0,21.0,76.19,237.0,3.0,1.0,132.3,0.0,0.0,11.29,12.0
1990,1990-09-16,26.307,9.0,18.0,50.0,127.0,1.0,1.0,68.5,1.0,8.0,7.06,5.67
1990,1990-09-23,26.314,13.0,22.0,59.09,181.0,1.0,0.0,100.8,1.0,10.0,8.23,9.14
1990,1990-09-30,26.320999999999998,11.0,19.0,57.89,162.0,1.0,0.0,103.4,2.0,12.0,8.53,9.58
1990,1990-10-07,26.328000000000003,13.0,21.0,61.9,194.0,1.0,0.0,108.0,4.0,30.0,9.24,10.19
1990,1990-10-14,26.335,17.0,29.0,58.62,292.0,1.0,0.0,104.4,4.0,36.0,10.07,10.76
1990,1990-10-21,26.342,21.0,32.0,65.63,271.0,1.0,2.0,76.4,5.0,51.0,8.47,6.28
1990,1990-11-04,26.355999999999998,10.0,24.0,41.67,149.0,1.0,5.0,37.0,3.0,36.0,6.21,-2.33
1990,1990-11-11,26.363000000000003,11.0,19.0,57.89,110.0,0.0,2.0,34.9,5.0,35.0,5.79,1.05
1990,1990-11-25,27.011999999999997,25.0,49.0,51.02,281.0,1.0,0.0,75.3,2.0,20.0,5.73,6.14
1990,1990-12-02,27.019000000000002,17.0,33.0,51.52,351.0,2.0,1.0,96.9,3.0,20.0,10.64,10.48
1990,1990-12-16,27.033,12.0,30.0,40.0,148.0,1.0,2.0,39.3,2.0,12.0,4.93,2.6
1990,1990-12-23,27.04,9.0,21.0,42.86,111.0,2.0,2.0,52.0,3.0,24.0,5.29,2.9
1990,1990-12-30,27.046999999999997,19.0,27.0,70.37,204.0,1.0,2.0,73.7,3.0,36.0,7.56,4.96
1991,1991-09-01,27.291999999999998,12.0,28.0,42.86,197.0,1.0,1.0,64.1,1.0,7.0,7.04,6.14
1991,1991-09-08,27.299,17.0,29.0,58.62,161.0,0.0,0.0,74.1,7.0,52.0,5.55,5.55
1991,1991-09-15,27.305999999999997,19.0,30.0,63.33,278.0,1.0,1.0,90.7,7.0,47.0,9.27,8.43
1991,1991-09-22,27.313000000000002,3.0,10.0,30.0,48.0,0.0,0.0,47.1,1.0,10.0,4.8,4.8
1991,1991-09-29,27.32,7.0,13.0,53.85,54.0,0.0,1.0,32.2,0.0,0.0,4.15,0.69
1991,1991-10-06,27.326999999999998,5.0,18.0,27.78,52.0,0.0,1.0,16.4,3.0,24.0,2.89,0.39
1991,1991-11-03,27.355,10.0,22.0,45.45,124.0,1.0,3.0,39.0,2.0,19.0,5.64,0.41
1991,1991-11-10,27.362,12.0,22.0,54.55,165.0,0.0,0.0,78.8,0.0,0.0,7.5,7.5
