Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1981,1981-09-14,22.225,6.0,10.0,60.0,48.0,0.0,0.0,72.1,2.0,19.0,4.8,4.8
1981,1981-09-20,22.230999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1981,1981-12-12,22.314,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-45.0
1983,1983-12-17,24.319000000000003,16.0,28.0,57.14,124.0,1.0,2.0,50.3,3.0,22.0,4.43,1.93
1984,1984-10-28,25.27,6.0,12.0,50.0,89.0,1.0,1.0,67.7,0.0,0.0,7.42,5.33
1984,1984-11-04,25.276999999999997,24.0,36.0,66.67,236.0,1.0,2.0,71.1,2.0,18.0,6.56,4.61
1984,1984-11-11,25.284000000000002,19.0,37.0,51.35,183.0,2.0,1.0,72.2,3.0,21.0,4.95,4.81
1984,1984-11-18,25.291,11.0,20.0,55.0,120.0,1.0,1.0,68.7,3.0,23.0,6.0,4.75
1984,1984-11-25,25.298000000000002,12.0,31.0,38.71,90.0,0.0,2.0,20.0,3.0,19.0,2.9,0.0
1984,1984-11-29,25.302,8.0,17.0,47.06,63.0,0.0,2.0,17.2,3.0,27.0,3.71,-1.59
1984,1984-12-08,25.311,18.0,32.0,56.25,212.0,0.0,1.0,63.5,4.0,36.0,6.63,5.22
1984,1984-12-16,25.319000000000003,4.0,10.0,40.0,26.0,0.0,1.0,8.3,2.0,15.0,2.6,-1.9
1985,1985-10-27,26.268,5.0,13.0,38.46,60.0,0.0,2.0,13.8,1.0,9.0,4.62,-2.31
1985,1985-11-03,26.275,2.0,2.0,100.0,24.0,0.0,0.0,116.7,0.0,0.0,12.0,12.0
1985,1985-11-17,26.289,13.0,18.0,72.22,133.0,0.0,1.0,69.9,2.0,12.0,7.39,4.89
1985,1985-12-01,26.303,13.0,27.0,48.15,187.0,3.0,0.0,108.1,1.0,7.0,6.93,9.15
1986,1986-09-21,27.232,1.0,1.0,100.0,5.0,0.0,0.0,87.5,0.0,0.0,5.0,5.0
1986,1986-09-28,27.239,3.0,5.0,60.0,65.0,0.0,1.0,64.6,1.0,9.0,13.0,4.0
1986,1986-10-19,27.26,0.0,0.0,,0.0,0.0,0.0,,1.0,5.0,,
1986,1986-10-26,27.267,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-11-16,27.288,4.0,6.0,66.67,68.0,1.0,0.0,144.4,0.0,0.0,11.33,14.67
