Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1984,1984-09-02,27.289,12.0,29.0,41.38,201.0,2.0,0.0,88.4,5.0,45.0,6.93,8.31
1984,1984-09-09,27.296,23.0,43.0,53.49,365.0,0.0,0.0,82.0,4.0,22.0,8.49,8.49
1984,1984-09-16,27.303,11.0,31.0,35.48,212.0,1.0,0.0,70.9,3.0,25.0,6.84,7.48
1984,1984-09-23,27.31,17.0,28.0,60.71,208.0,1.0,1.0,80.7,4.0,21.0,7.43,6.54
1984,1984-09-30,27.316999999999997,3.0,8.0,37.5,36.0,0.0,2.0,12.5,3.0,23.0,4.5,-6.75
1984,1984-10-07,27.324,15.0,33.0,45.45,181.0,0.0,0.0,62.8,4.0,31.0,5.48,5.48
1984,1984-10-14,27.331,19.0,28.0,67.86,170.0,1.0,1.0,81.0,1.0,14.0,6.07,5.18
1984,1984-10-21,27.338,25.0,33.0,75.76,356.0,2.0,2.0,105.1,2.0,6.0,10.79,9.27
1984,1984-10-28,27.345,11.0,18.0,61.11,196.0,0.0,2.0,58.8,3.0,26.0,10.89,5.89
1984,1984-11-04,27.351999999999997,10.0,20.0,50.0,133.0,0.0,0.0,71.5,5.0,48.0,6.65,6.65
1984,1984-11-11,27.359,19.0,26.0,73.08,180.0,1.0,0.0,104.6,5.0,40.0,6.92,7.69
1984,1984-11-18,28.0,20.0,28.0,71.43,207.0,3.0,0.0,128.1,1.0,8.0,7.39,9.54
1984,1984-11-25,28.006999999999998,9.0,20.0,45.0,84.0,0.0,2.0,17.5,4.0,46.0,4.2,-0.3
1984,1984-12-02,28.014,27.0,45.0,60.0,303.0,1.0,3.0,59.8,0.0,0.0,6.73,4.18
1984,1984-12-09,28.021,19.0,29.0,65.52,200.0,0.0,1.0,71.0,3.0,16.0,6.9,5.34
1984,1984-12-16,28.028000000000002,19.0,31.0,61.29,306.0,0.0,0.0,94.3,0.0,0.0,9.87,9.87
1985,1985-09-08,28.294,12.0,17.0,70.59,270.0,1.0,1.0,108.1,3.0,41.0,15.88,14.41
1985,1985-09-15,28.301,12.0,28.0,42.86,137.0,1.0,0.0,70.1,4.0,30.0,4.89,5.61
1985,1985-09-22,28.308000000000003,10.0,18.0,55.56,92.0,0.0,1.0,46.5,3.0,17.0,5.11,2.61
1985,1985-09-29,28.315,11.0,26.0,42.31,215.0,1.0,4.0,45.0,12.0,82.0,8.27,2.12
1985,1985-10-06,28.322,8.0,17.0,47.06,122.0,1.0,0.0,90.8,4.0,36.0,7.18,8.35
1985,1985-10-13,28.329,14.0,23.0,60.87,97.0,0.0,1.0,52.3,5.0,28.0,4.22,2.26
1985,1985-10-20,28.336,20.0,31.0,64.52,266.0,2.0,0.0,113.1,0.0,0.0,8.58,9.87
1985,1985-10-27,28.343000000000004,14.0,30.0,46.67,187.0,1.0,2.0,50.3,2.0,16.0,6.23,3.9
1985,1985-11-03,28.35,24.0,35.0,68.57,255.0,2.0,1.0,96.7,2.0,14.0,7.29,7.14
1985,1985-11-10,28.357,3.0,14.0,21.43,22.0,0.0,3.0,0.0,0.0,0.0,1.57,-8.07
1985,1985-11-17,28.364,2.0,3.0,66.67,13.0,0.0,0.0,75.7,1.0,15.0,4.33,4.33
1985,1985-12-08,29.02,26.0,47.0,55.32,330.0,2.0,2.0,73.9,3.0,32.0,7.02,5.96
1985,1985-12-15,29.026999999999997,22.0,48.0,45.83,339.0,2.0,2.0,66.2,4.0,36.0,7.06,6.02
1985,1985-12-22,29.034000000000002,22.0,40.0,55.0,364.0,2.0,2.0,81.7,3.0,19.0,9.1,7.85
1986,1986-09-07,29.293000000000003,14.0,21.0,66.67,218.0,2.0,1.0,112.8,0.0,0.0,10.38,10.14
1986,1986-09-14,29.3,22.0,31.0,70.97,264.0,1.0,3.0,67.9,0.0,0.0,8.52,4.81
1986,1986-09-21,29.307,18.0,40.0,45.0,229.0,0.0,2.0,42.6,7.0,42.0,5.73,3.48
1986,1986-09-28,29.314,22.0,42.0,52.38,237.0,1.0,1.0,67.3,6.0,37.0,5.64,5.05
1986,1986-10-05,29.320999999999998,21.0,38.0,55.26,398.0,1.0,3.0,67.7,0.0,0.0,10.47,7.45
1986,1986-10-12,29.328000000000003,12.0,29.0,41.38,204.0,1.0,1.0,63.0,5.0,49.0,7.03,6.17
1986,1986-10-19,29.335,14.0,24.0,58.33,181.0,1.0,2.0,61.3,2.0,26.0,7.54,4.63
1986,1986-10-26,29.342,18.0,46.0,39.13,304.0,0.0,4.0,26.0,6.0,51.0,6.61,2.7
1986,1986-11-02,29.349,5.0,8.0,62.5,45.0,0.0,1.0,38.0,2.0,20.0,5.63,0.0
1986,1986-11-09,29.355999999999998,25.0,44.0,56.82,310.0,1.0,0.0,86.4,1.0,13.0,7.05,7.5
1986,1986-11-16,29.363000000000003,22.0,41.0,53.66,249.0,1.0,2.0,59.9,5.0,29.0,6.07,4.37
1986,1986-11-23,30.005,22.0,35.0,62.86,294.0,3.0,2.0,94.2,1.0,9.0,8.4,7.54
1986,1986-11-30,30.011999999999997,5.0,23.0,21.74,68.0,0.0,4.0,0.0,2.0,18.0,2.96,-4.87
1986,1986-12-14,30.026,22.0,37.0,59.46,280.0,1.0,0.0,92.2,2.0,21.0,7.57,8.11
1986,1986-12-21,30.033,14.0,29.0,48.28,208.0,0.0,0.0,72.2,2.0,17.0,7.17,7.17
1987,1987-09-13,30.299,21.0,43.0,48.84,310.0,2.0,2.0,68.9,2.0,23.0,7.21,6.05
1987,1987-09-20,30.305999999999997,13.0,27.0,48.15,142.0,2.0,1.0,73.4,1.0,12.0,5.26,5.07
1987,1987-10-25,30.340999999999998,15.0,34.0,44.12,242.0,3.0,2.0,73.4,1.0,8.0,7.12,6.24
1987,1987-11-01,30.348000000000003,18.0,29.0,62.07,191.0,2.0,1.0,89.9,6.0,46.0,6.59,6.41
1987,1987-11-08,30.355,17.0,36.0,47.22,198.0,2.0,3.0,48.1,1.0,12.0,5.5,2.86
1987,1987-11-15,30.362,16.0,22.0,72.73,239.0,2.0,0.0,138.3,1.0,18.0,10.86,12.68
1987,1987-11-22,31.004,5.0,23.0,21.74,193.0,1.0,3.0,37.0,3.0,22.0,8.39,3.39
