,Name,Birthday,Year,Age,Surgery,SurgeryAge,Experience,Control
0,Marc Bulger,4/5/1977,2002,25,10/17/2005,28.553425,3,Shaun Hill
1,Derek Anderson,6/15/1983,2006,23,12/26/2006,23.547945,0,Matt Cassel
2,Kyle Boller,6/17/1981,2003,22,8/16/2008,27.183562,5,Blaine Gabbert
3,Bruce Gradkowski,1/27/1983,2006,23,11/28/2010,27.854795,4,Brady Quinn
4,Jameis Winston,1/6/1994,2015,21,10/15/2017,23.789041,2,Josh Freeman
5,Ben Roethlisberger,3/2/1982,2004,22,1/10/2016,33.882192,12,Aaron Rodgers
6,Jim Miller,2/9/1971,1995,24,1/19/2002,30.964384,6,Hugh Millen
7,Scott Mitchell,1/2/1968,1991,23,11/6/1993,25.863014,2,Doug Johnson
8,Gary Hogeboom,8/21/1958,1980,22,9/14/1986,28.084932,6,Steve Grogan
9,David Archer,2/15/1962,1984,22,11/16/1986,24.767123,2,Todd Blackledge
10,Tony Eason,10/8/1959,1983,24,11/1/1987,28.084932,4,Jeff Hostetler
